sex,race,juv_fel_count,priors_count,juv_other_count,juv_misd_count,c_charge_degree,age,expert prediction,machine prediction,ground truth,proba_model,did_recid,provider,idx
-0.7247414,-3.9870305,-0.66577524,-0.9537405,-0.8306323,-1.0001245,-3.3399775,-2.8264763,1,0,1,0.5356120200127682,1,H,21
-6.747865,-3.0684571,-0.6654843,-0.95334566,-0.8302442,-0.9995809,-2.250145,-2.8622797,1,0,1,0.5314798678703576,1,H,22
-0.71501434,-3.967545,-0.66519374,-0.53488374,-0.8298563,-0.9990381,-3.3292122,-2.7967143,0,1,0,0.5553572049944436,0,H,23
-0.71513957,-3.955226,-0.6649033,-0.9529659,-0.8294688,-0.9984958,-4.395884,-2.8662505,0,0,0,0.5217231634324911,0,H,24
-0.7152645,-3.042752,-0.6646132,-0.9145714,-0.8290819,-0.99795425,-4.3778987,-2.8075309,0,0,0,0.5554507714597288,0,H,25
-0.7153893,-3.9362156,-0.66432333,-0.9522313,-0.82869524,-0.99741334,-0.07562549,-2.816365,0,0,0,0.6112609283058098,0,H,26
-6.691658,-5.7046103,-0.6640337,-0.91382766,-0.828309,-0.99687314,-2.224334,-2.885555,0,0,0,0.6322706154750174,0,H,27
-6.6304374,-3.8981893,-0.6637444,-0.95149827,-0.8279232,-0.9963334,-3.291818,-2.9140642,0,0,0,0.5845747429965786,0,H,28
-0.6964946,-3.8864982,-0.66345525,-0.9511062,-0.82753766,-0.9957946,-3.284413,-2.8352873,1,0,1,0.6865204236147195,1,H,29
-0.6966233,-2.9882684,-0.6631664,-0.9507144,-0.8271526,-0.9952563,-1.1423568,-2.9174538,0,0,0,0.6495483845748307,0,H,30
-0.69675183,-2.9830425,-0.66287774,-0.3420852,-0.8267679,-0.9947186,-2.2110076,-2.6786213,0,0,0,0.5238574609512475,0,H,31
-0.6968801,-2.9778445,-0.6625894,-0.83638567,-0.8263837,-0.9941818,-4.3343277,-2.674691,0,0,0,0.6414111907359296,0,H,32
-0.6970081,-2.972674,-0.6623013,-0.22862838,-0.82599986,-0.9936454,-2.1992507,-2.677427,0,0,0,0.603509721156327,0,H,33
-0.69713587,-3.8493629,-0.6620135,-0.95023304,-0.82561636,-0.99310964,-4.3137126,-2.8396451,0,0,0,0.678070841781834,0,H,34
-6.5806394,-2.9583175,-0.6617258,-0.41847622,5.1661596,18.04161,-2.1876569,-2.8348863,1,1,1,0.58864807599518,1,H,35
-0.68807256,-4.706981,-0.6614385,-0.6462788,-0.8245256,-0.93757933,-2.1854222,-2.7837212,1,0,1,0.6906712035155611,1,H,36
-0.688202,-5.552808,-0.66115147,-0.9118975,-0.8241437,-0.9370943,-2.1831946,-2.878593,1,0,1,0.568462319511767,1,H,37
-0.6883312,-5.5180755,-0.66086465,-0.8735911,-0.8237623,-0.9366096,-4.28682,-2.7082326,0,0,0,0.5394455477918859,0,H,38
-6.5272846,-2.9029047,-0.660578,-0.8353098,-0.82338107,-0.93612576,-3.2234154,-2.7966344,0,0,0,0.5747426365048902,0,H,39
-0.6794712,-2.8981137,-0.6602917,-0.9110056,-0.8230004,-0.9356423,-4.261507,-2.6864526,0,0,0,0.6497535112912813,0,H,40
-0.6796019,-2.893347,-0.66000557,-0.9486427,-0.82262003,-0.9351595,-2.157538,-2.8143141,1,0,1,0.6609232049576729,1,H,41
-0.6797325,-2.8886046,-0.6597197,-0.94825435,-0.8222402,-0.93467724,-2.1553917,-2.8754992,1,0,1,0.6081990711765116,1,H,42
-0.67986286,-2.8838863,-0.6594341,-0.4919613,-0.8218606,-0.93419546,-2.153252,-2.752194,1,0,1,0.5355260261246445,1,H,43
-0.67999303,-2.8791916,-0.65914875,-0.5300207,-0.82148147,-0.9337143,-2.1511188,-2.636186,0,0,0,0.5000291757695754,0,H,44
-0.6801229,-3.7322905,-0.65886366,-0.947918,-0.8211027,-0.9332336,-3.1931546,-2.46251,0,0,0,0.6376083078344781,0,H,45
-0.6802526,-2.866097,9.306336,-0.6055756,2.178134,-0.93275344,-2.1438503,-2.6817899,1,1,1,0.5954207938334549,1,H,46
-6.481872,-5.41472,-0.6546458,-0.94750184,-0.82190275,-0.9322739,-3.18379,-2.8214288,0,0,0,0.6540166196639683,0,H,47
-0.6715818,-5.382457,-0.654364,-0.9471151,-0.82152414,-0.9317949,-2.1366472,-2.7254615,0,0,0,0.6262463199931873,0,H,48
-0.671713,-2.8274686,-0.6540824,-0.87072885,-0.8211458,-0.93131644,-3.1745136,-2.5455003,0,0,1,0.6678430965238991,0,H,49
-0.671844,-5.3433385,-0.65380114,-0.94644386,-0.8207678,-0.93083847,-1.0891865,-2.8086905,0,0,0,0.6392092804996915,0,H,50
-0.6719747,-2.806533,-0.65352005,-0.8320129,-0.8203903,-0.93036103,-1.0897272,-2.7521443,1,0,1,0.6479512932214784,1,H,51
-0.6721053,-2.8022044,-0.65323925,-0.5655379,8.046949,5.381261,-2.1300006,-2.7542982,1,1,1,0.573948615231855,1,H,52
-0.6722356,-5.297859,-0.65295863,-0.94581646,-0.8142585,-0.9288673,-1.0886863,-2.8017805,0,0,0,0.636534415992924,0,H,53
-0.67236584,-3.6139057,-0.65267825,-0.8693756,-0.8138863,-0.9283922,-4.1975093,-2.6871812,0,0,0,0.6743535944342169,0,H,54
-0.6724957,-4.432092,-0.65239817,-0.9071153,-0.8135144,-0.9279176,-5.2033424,-2.560353,0,0,0,0.6792084544728654,0,H,55
-0.6726255,-2.7626386,-0.6521183,-0.60236144,-0.81314296,-0.9274435,-2.1069334,-2.7634838,1,0,1,0.587787880799714,1,H,56
-6.4409566,-2.7585099,-0.65183866,-0.830635,-0.8127718,-0.92697,-2.1049323,-2.7075095,0,0,0,0.6559054900094643,0,H,57
-0.66413325,-4.402961,-0.65155923,-0.9445519,-0.81240106,-0.9264969,-4.150655,-2.7291536,0,0,0,0.6794628493601559,0,H,58
-0.6642643,-5.201651,-0.65128016,-0.86804485,-0.8120306,-0.9260245,-3.1172829,-2.7635362,0,0,0,0.6814544510288794,0,H,59
-0.6643952,-2.7279005,-0.6510012,-0.9438865,-0.81166065,-0.9255526,-5.1373525,-2.7398663,0,0,0,0.6812430839791795,0,H,60
-0.6645259,-3.5413916,-0.65072256,-0.9435042,-0.8112911,-0.9250812,-2.0776064,-2.6970603,0,0,0,0.6671724233387557,0,H,61
-0.66465634,-4.3457513,-0.65044415,-0.4861753,-0.8109218,5.3611984,-2.0756838,-2.686563,1,0,1,0.5075775174012742,1,H,62
-0.66478664,-2.7058403,-0.650166,-0.94315934,-0.81055284,-0.9236441,-3.0879211,-2.5159545,0,0,0,0.6918187544930273,0,H,63
-0.6649167,-3.5143123,-0.649888,-0.94277805,-0.8101844,-0.923175,-3.081794,-2.6790664,0,0,0,0.698084716653547,0,H,64
-0.6650466,-2.6948733,-0.6496103,-0.6757808,-0.8098162,-0.9227063,-2.0644283,-2.5153067,0,0,0,0.7069958171935526,0,H,65
-0.66517615,-2.6910415,-0.6493328,-0.8280379,-0.8094484,11.3166,-1.0499231,-2.760946,1,1,1,0.6041898630494117,1,H,66
-6.401158,-2.6872265,-0.64905554,-0.94207895,-0.809081,-0.90642804,-3.0734093,-2.6354582,0,0,0,0.7069048347096913,0,H,67
-6.3477445,-3.49173,-0.64877856,-0.90359986,-0.8087139,-0.9059739,-3.0673697,-2.6443868,1,0,1,0.7543942990429857,1,H,68
-0.6485827,-2.676476,-0.64850175,-0.8651526,2.1534712,-0.9055202,-3.0613654,-2.6978118,1,0,1,0.5297671452043219,1,H,69
-6.297208,-2.6727235,-0.6482252,-0.82672966,-0.8095188,-0.905067,-2.0490377,-2.560231,0,0,0,0.6383943352367766,0,H,70
-0.6406107,-2.668988,9.217452,-0.2550845,-0.8091518,-0.9046144,-2.0471926,-2.613899,1,1,1,0.6045135754063394,1,H,71
-6.247846,-5.0687757,-0.64434576,-0.86477417,-0.80878514,-0.9041623,-1.0380813,-2.61018,0,0,0,0.6871422160195465,0,H,72
-0.6328025,-3.4512997,-0.6440722,-0.75016975,-0.8084189,-0.9037106,-4.051969,-2.6254964,0,0,1,0.6551319622447954,0,H,73
-0.63293785,-3.4431682,-0.64379895,-0.9024105,2.1541517,-0.90325946,-3.0399525,-2.7167187,0,1,0,0.5160747237484354,1,H,74
-0.63307285,-2.6377845,-0.6435259,-0.90207744,-0.809222,-0.90280885,-3.034107,-2.680927,0,0,0,0.6980498068098553,0,H,75
-0.6332078,-5.0144906,-0.6432531,-0.9398561,-0.8088557,-0.9023586,-2.0289433,-2.6390042,1,0,1,0.7046692482180457,1,H,76
-6.204505,-2.6205525,-0.64298046,-0.9013636,-0.80849,5.189581,-2.027151,-2.7109313,0,1,0,0.5347739984864854,1,H,77
-0.6255528,-3.408671,30.47833,-0.44355714,2.1537073,-0.9012442,-2.0253632,-2.6878707,1,1,1,0.6800340582567367,1,H,78
-6.1572995,-4.9723744,-0.5329235,-0.9392066,-0.8092911,-0.9007959,-2.0235803,-2.5893345,0,0,0,0.6360604076998838,0,H,79
-0.6180498,-3.383526,-0.5327124,-0.9007154,-0.80892533,-0.90034807,-1.0223222,-2.560538,0,0,0,0.6435838682601365,0,H,80
-0.61818695,-3.3758588,-0.5325014,-0.32877192,-0.8085599,-0.8999007,-2.022098,-2.5067472,1,0,0,0.6690476272591974,1,H,81
-0.618324,-2.5845783,-0.5322906,-0.48142537,-0.8081949,-0.89945376,-3.0175226,-2.4658504,1,1,1,0.5801737178465004,1,H,82
-0.6184607,-2.5812,-0.5320799,-0.90053743,-0.8078302,-0.8990074,-3.0118098,-2.6760259,0,0,0,0.5277596643491104,0,H,83
-0.6185972,-3.360024,-0.5318694,-0.9002066,-0.8074659,-0.8985615,-3.9965544,-2.3280354,0,0,0,0.6485072514832659,0,H,84
-0.6187336,-3.3525162,-0.53165907,-0.06323569,-0.807102,-0.898116,-2.0041444,-2.5440876,0,0,0,0.5950027573637919,0,H,85
-6.1192713,-3.345059,-0.5314489,-0.9380111,-0.8067384,-0.89767116,-3.9805186,-2.496996,0,0,0,0.7371701574694552,0,H,86
-0.6113697,-2.5592895,-0.53123885,-0.67148864,2.1588604,5.1727743,-3.9670844,-2.655814,1,1,1,0.7669092592456207,1,H,87
-0.61150706,-3.3336568,-0.531029,-0.9375557,-0.80753803,-0.8966008,-1.0011882,-2.6705818,0,0,0,0.7273695888651887,0,H,88
-6.0756497,-2.5499308,-0.53081936,-0.36695653,-0.8071745,-0.89615756,-1.9880692,-2.6168818,1,0,1,0.695684914177271,1,H,89
-0.6042835,-3.3223767,-0.53060985,-0.9372559,-0.80681133,-0.89571494,-3.9512339,-2.650425,0,0,0,0.7445386199064071,0,H,90
-0.6044218,-2.540669,-0.53040045,-0.9368823,-0.8064486,-0.8952726,-0.9961966,-2.6527505,1,0,1,0.7173370958825241,1,H,91
-6.0329833,-3.3112156,-0.53019124,-0.936509,-0.80608606,-0.89483094,-1.9794827,-2.5372744,0,0,1,0.6124600363320362,0,H,92
-0.59733355,-5.6018977,-0.5299822,-0.9361363,-0.805724,-0.8943896,-2.9586728,-2.3730097,0,0,0,0.7460856096469867,0,H,93
-0.59747255,-4.807969,-0.52977335,-0.8977486,-0.80536234,-0.8939488,-2.9532814,-2.5619326,1,0,1,0.7344247961849086,1,H,94
-0.5976115,-2.5036638,-0.5295646,-0.85939187,-0.80500096,-0.89350843,-2.947919,-2.546077,0,0,0,0.6459671412013517,0,H,95
-0.5977501,-2.5005932,-0.52935606,-0.6308332,-0.80464,-0.8930685,-1.9654397,-2.5673344,0,0,0,0.5810665194962437,0,H,96
-0.59788865,-2.497535,7.1847515,-0.5546462,-0.8042793,-0.8926292,-1.9638067,-2.61315,1,1,1,0.6977895271498588,1,H,97
-0.59802693,-2.494488,7.101536,-0.8970809,5.10632,-0.8921903,-0.9841887,-2.6402242,1,1,1,0.6142242913147333,1,H,98
-0.5981649,-2.4914527,7.020844,-0.7825786,-0.8033694,-0.8917518,-1.9624987,-2.5994806,1,1,1,0.7518039438594242,1,H,99
-5.9993205,-4.7601686,-0.5296477,-0.8965573,-0.80301005,-0.89131385,-1.9608737,-2.5158942,0,0,0,0.572575414538119,0,H,100
-0.5912003,-2.4767585,-0.52944016,-0.5916218,2.1497495,-0.89087635,-0.0059511787,-2.5801654,1,1,1,0.541186138399049,1,H,101
-5.956754,-3.9831145,-0.5292328,-0.85812724,-0.8038079,5.165441,-2.9356904,-2.61341,0,0,0,0.5779022047205884,1,H,102
-0.5843636,-3.219075,-0.5290256,-0.8578385,-0.8034486,-0.88985175,-1.9569609,-2.5545201,0,0,0,0.6926687438376598,0,H,103
-0.5845034,-3.2124667,-0.5288186,-0.7813496,-0.80308974,-0.8894159,-0.98072183,-2.477521,0,0,0,0.6408605868414259,0,H,104
-5.916681,-2.454421,-0.5286118,-0.8954477,-0.8027312,-0.8889806,-0.007760915,-2.3154569,0,0,1,0.6144749240321774,0,H,105
-0.57778895,-3.2023911,-0.5284051,-0.59019786,-0.80237305,-0.88854575,-1.9574165,-2.5877988,1,0,1,0.6415193423214033,1,H,106
-0.57792956,-2.4461112,-0.5281985,-0.7807348,-0.80201524,-0.88811123,-1.9558057,-2.3767908,0,0,1,0.645247742445124,0,H,107
-0.5780699,-2.4432502,-0.52799207,-0.019990638,-0.8016577,5.14189,-1.9541994,-2.5751107,1,1,1,0.5777155647849375,1,H,108
-5.8790455,-3.1889586,-0.52778584,-0.93303967,-0.8013005,-0.8871255,-1.9525969,-2.6080577,0,0,0,0.7150372308114998,0,H,109
-0.5714723,-3.927926,-0.5275797,-0.9326713,-0.80094373,-0.88669264,-0.9788008,-2.3855126,0,0,0,0.6866162677976227,0,H,110
-0.57161343,-2.4269958,-0.52737385,-0.8182163,-0.8005872,-0.88626045,-1.9513148,-2.3766813,0,0,0,0.6836475487750079,0,H,111
-5.840588,-2.4242022,-0.52716804,-0.932078,-0.8002311,-0.8858286,-2.919912,-2.5012872,0,0,0,0.7390501111720797,0,H,112
-0.5651303,-2.4214184,-0.5269624,-0.1717682,-0.7998754,-0.88539726,-1.9457378,-2.3707926,1,0,1,0.613891990866968,1,H,113
-0.565272,-3.162379,-0.52675694,-0.855828,-0.79952,-0.8849664,-1.9441566,-2.5012193,1,0,1,0.7025145523187364,1,H,114
-0.5654136,-4.6340046,-0.5265516,-0.9315165,-0.79916495,-0.8845358,-3.875575,-2.5947065,1,0,1,0.7518641644384869,1,H,115
-5.8045063,-2.4026716,6.985477,-0.89316237,-0.7988102,-0.88410586,-1.9357885,-2.5850143,0,1,0,0.733546698293303,1,H,116
-0.5590399,-3.1387992,-0.52660847,-0.9308343,-0.7984559,-0.8836763,-3.8610358,-2.4728103,0,0,0,0.6828229640101069,0,H,117
-0.55918205,-3.1326733,-0.5264037,-0.93046856,-0.7981018,-0.8832472,-1.9275117,-2.294978,0,0,0,0.680341436324917,0,H,118
-0.5593241,-3.8614008,-0.52619904,-0.816079,2.1648216,-0.88281846,-1.925973,-2.5272353,0,1,1,0.5319717747268325,1,H,119
-0.55946594,-4.579646,-0.52599454,-0.92987984,-0.79889864,-0.8823903,-1.9244379,-2.3915875,1,0,1,0.7200107561628192,1,H,120
-0.5596075,-2.371724,-0.5257902,-0.92951536,-0.79854465,-0.8819626,-1.9229064,-2.3947601,0,0,0,0.702471042443298,0,H,121
-5.7723465,-3.1003296,-0.525586,-0.9291511,-0.7981911,-0.88153523,-1.9213791,-2.5179653,0,0,0,0.7358377301820465,0,H,122
-0.553337,-2.3641796,-0.525382,-0.7386206,-0.79783773,-0.8811084,-1.9198556,-2.400689,0,0,0,0.6976430820384405,0,H,123
-0.55347925,-2.3615983,-0.5251781,-0.73842335,-0.7974848,-0.88068205,-1.9183357,-2.5296493,0,0,1,0.7128796843734999,0,H,124
-0.5536213,-2.3590257,-0.52497435,-0.85240495,2.1665578,-0.880256,-1.9168195,-2.5382476,1,1,1,0.5400413310886196,1,H,125
-0.5537632,-4.5352736,-0.52477074,-0.9282355,-0.7982799,-0.87983054,-2.8754728,-2.4391508,1,0,1,0.688602944654646,1,H,126
-5.739254,-3.0719213,-0.5245673,-0.9278727,-0.7979271,-0.87940544,-2.8705401,-2.3942866,0,0,0,0.5857026890112246,0,H,127
-0.5475943,-2.3415735,-0.524364,-0.73715454,-0.79757446,-0.8789808,-2.8656325,-2.4631073,0,0,0,0.7306981760008111,0,H,128
-0.54773676,-2.339066,-0.5241609,-0.35640183,-0.7972223,-0.87855655,-4.761243,-2.5017748,0,0,0,0.6055425633981515,0,H,129
-0.547879,-2.3365667,-0.52395797,0.0969731,-0.79687047,-0.8781329,-3.7943487,-2.3196626,0,0,0,0.5996632854008925,0,H,130
-0.54802114,-3.0571215,6.945805,-0.6240283,-0.7965189,-0.87770957,-0.9374542,-2.4659941,1,0,1,0.5577276346696664,1,H,131
-0.5481631,-2.3293364,-0.5240582,-0.92735255,2.1693869,-0.8772868,-1.888277,-2.4450192,0,1,0,0.5920803142121435,1,H,132
-0.5483048,-3.0484817,-0.52385575,-0.9269912,-0.7973124,-0.8768643,-1.8868282,-2.5311651,0,0,0,0.7198783902806658,0,H,133
-5.7099957,-3.7617066,-0.5236534,-0.9266305,-0.79696095,-0.87644225,-2.8338127,-2.4505696,0,0,0,0.7805141969349795,0,H,134
-0.5422313,-3.7511585,-0.5234512,-0.92626995,-0.79660976,-0.8760208,-2.8290856,-2.3821924,1,0,1,0.7340316377761706,1,H,135
-5.6734185,-3.0252826,-0.5232492,-0.88797694,-0.796259,-0.87559974,-2.8243818,-2.4505806,0,0,1,0.7860990410950913,0,H,136
-0.5362575,-2.3034368,-0.52304727,-0.88766026,-0.7959085,-0.87517905,-2.8197002,-2.3111832,0,0,0,0.7415136572106632,0,H,137
-0.5364004,-3.7309628,-0.5228456,-0.88734394,-0.7955584,-0.8747588,-1.8708414,-2.2613697,0,0,0,0.7840686243335716,0,H,138
-0.5365432,-2.2941246,-0.522644,-0.7351679,2.1722016,-0.874339,-1.8694314,-2.477778,1,0,1,0.5088191098383518,1,H,139
-0.53668576,-4.42619,-0.5224426,-0.8489066,5.10361,-0.87391967,-2.811721,-2.4687083,0,1,0,0.5032637315424519,1,H,140
-0.53682816,-2.9932058,-0.52224123,-0.5068122,-0.79583335,-0.87350076,-0.92051613,-2.4419708,1,0,1,0.537432702009104,1,H,141
-0.53697044,-5.797754,-0.5220401,-0.6587278,-0.7954839,-0.87308234,-0.92106456,-2.4743304,1,0,1,0.5964049514374871,1,H,142
-0.5371125,-2.9668288,-0.52183914,-0.8485626,-0.7951347,-0.87266415,-1.8651459,-2.477069,0,0,0,0.5126810902474859,0,H,143
-0.53725433,-2.2589822,6.9019957,-0.24091159,-0.79478586,5.173276,-1.8637493,-2.4621325,1,1,1,0.5419127139969355,1,H,144
-0.5373961,-2.2567303,-0.5219806,-0.6586509,-0.79443747,5.140924,-1.8623557,-2.4354975,1,1,1,0.7037704469344566,1,H,145
-0.53753763,-2.956238,-0.52178,-0.9242801,-0.7940893,-0.87125146,-3.7405608,-2.3678105,0,0,1,0.658900982643451,0,H,146
-0.5376791,-2.9511092,-0.5215797,-0.6581281,-0.7937415,-0.8708356,-1.8548561,-2.2652085,1,0,1,0.7112063109695523,1,H,147
-0.53782034,-2.2458806,-0.5213794,-0.5820393,-0.79339397,-0.8704202,-0.91348565,-2.3919277,1,0,1,0.6331117106109868,1,H,148
-0.5379613,-4.33643,-0.5211793,-0.6959224,-0.79304683,-0.87000525,-2.7923927,-2.3832138,1,0,1,0.542292671956351,1,H,149
-5.6564612,-2.9317987,-0.52097934,-0.885743,2.1598248,-0.8695908,-1.8503277,-2.4214294,0,0,0,0.5969139898539413,0,H,150
-0.53206813,-3.6212924,-0.52077955,-0.88542914,-0.79383665,-0.8691766,0.027183205,-2.3774736,0,1,0,0.5515828680260378,0,H,151
-0.53220963,-2.2242596,-0.52057993,-0.20175362,2.1571875,10.876612,-1.8506194,-2.3922398,1,1,1,0.6857277383111842,1,H,152
-0.53235096,-2.222111,19.845556,-0.31623968,-0.79462457,-0.8559496,-1.8492554,-2.37769,1,1,1,0.6914641406440505,1,H,153
-5.624173,-2.9137385,-0.49146146,-0.92327964,-0.7942772,-0.8555465,-3.71644,-2.3398082,0,0,0,0.7936554512351534,0,H,154
-0.5265493,-2.9088259,-0.49127677,-0.58151835,-0.7939302,4.9839554,-0.9071978,-2.436467,1,1,1,0.644634147382358,1,H,155
-0.5266912,-2.9039378,-0.49109226,-0.8849773,-0.7935835,-0.8548782,-1.8422548,-2.29335,0,0,0,0.6934019779643522,0,H,156
-0.5268329,-2.8990743,-0.49090788,-0.8846645,-0.79323703,-0.8544763,-1.840909,-2.4075184,0,0,0,0.7040845771598597,0,H,157
-0.52697426,-2.894235,-0.4907236,-0.69457704,-0.792891,-0.85407484,-3.7018895,-2.4104466,0,0,1,0.6905503193514173,0,H,158
-0.52711564,-2.199474,-0.4905395,-0.1261575,-0.79254526,-0.85367376,-1.8336425,-2.3434556,1,0,1,0.6792204549004988,1,H,159
-0.5272568,-3.5748513,-0.4903555,-0.8464846,2.161089,4.9617352,-1.832315,-2.422275,1,1,1,0.722920510032358,1,H,160
-0.52739775,-3.565779,-0.4901716,-0.8841074,-0.7933317,-0.8530337,-1.8309902,-2.4425678,1,0,1,0.6718083772041274,1,H,161
-5.5987606,-2.8717744,-0.4899879,-0.88379556,-0.79298604,-0.8526339,-3.6857858,-2.3465648,0,0,0,0.825968871106829,0,H,162
-0.52167976,-2.1812146,-0.48980427,-0.7697349,-0.79264075,-0.85223454,-1.8238213,-2.2683766,1,0,1,0.6403906111612132,1,H,163
-0.5218212,-2.17919,-0.48962086,-0.9212139,-0.7922957,-0.8518355,-0.89425814,-2.3588088,0,0,0,0.6744909547493921,0,H,164
-5.5660367,-2.1771712,-0.48943752,-0.9208605,-0.79195094,-0.8514369,-0.8947983,-2.309675,0,0,0,0.7287462533923125,0,H,165
-5.53079,-2.8598146,-0.48925433,-0.8067187,-0.7916066,4.9416285,-2.749946,-2.4114342,1,0,1,0.5532201864364045,1,H,166
-0.51050675,-4.2171836,-0.48907122,-0.9202928,-0.79126257,-0.8508246,-2.7456348,-2.3158576,0,1,0,0.517401632441177,0,H,167
-0.5106494,-2.8445396,-0.4888883,-0.80611056,-0.7909189,-0.85042727,-2.741343,-2.342214,1,0,1,0.6375987706974443,1,H,168
-0.51079184,-2.839966,-0.4887055,-0.80586684,-0.7905755,-0.8500303,-1.8132063,-2.3973799,0,0,0,0.626256722077746,0,H,169
-0.5109341,-2.1554203,-0.48852283,-0.91951203,-0.7902324,-0.84963375,-2.7355769,-2.2904723,0,0,0,0.6917838769992335,0,H,170
-5.5023794,-2.1534672,-0.48834026,-0.9191605,-0.7898898,-0.8492377,-0.88475055,-2.415034,0,0,0,0.7845172250420189,0,H,171
-5.468284,-2.1515203,-0.48815784,-0.9188093,-0.7895474,-0.84884197,-1.8089778,-2.233222,0,0,0,0.8373838823657157,0,H,172
-0.4999503,-3.5057464,-0.48797557,-0.7285672,-0.7892053,-0.84844655,-1.8077025,-2.3693013,0,0,0,0.6446874045773807,0,H,173
-0.50009376,-2.1437912,-0.4877934,-0.91832286,-0.7888636,-0.8480516,-1.8064302,-2.0903926,0,0,0,0.6755571757459582,0,H,174
-0.50023705,-2.14187,6.280263,-0.8040055,-0.7885221,-0.847657,-1.8051604,-2.3988667,0,1,0,0.5962676316861114,1,H,175
-5.439414,-3.4918594,-0.4885287,-0.87976754,-0.788181,-0.8472629,-2.7256103,-2.3271062,0,0,0,0.86261531092841,0,H,176
-5.4064217,-2.8095703,-0.48834664,-0.9174593,-0.78784025,-0.8468692,-1.8006247,-2.353176,0,0,0,0.8600799877614481,0,H,177
-0.48956805,-2.1305065,-0.48816475,-0.8030823,-0.78749985,-0.8464758,-0.8776464,-2.390591,0,0,1,0.7379628683169973,0,H,178
-0.48971227,-2.128622,-0.48798296,-0.7648133,-0.7871596,-0.8460828,-1.7997324,-2.3132746,0,0,0,0.6985441917799691,0,H,179
-0.48985636,-2.8006678,-0.48780128,-0.7265599,-0.7868198,-0.8456902,-1.7984774,-2.3736782,1,0,1,0.786437642404844,1,H,180
-0.49000025,-2.123049,6.2349367,-0.53616154,-0.7864803,-0.84529793,-1.797225,-2.239299,0,1,0,0.624952895144541,1,H,181
-0.49014407,-2.1211846,-0.48855138,-0.9166012,-0.78614104,-0.84490615,-0.8750339,-2.3227377,0,0,0,0.7106046532387634,0,H,182
